onset	duration	cue	cond	sbjResp	sbjRT	mcAcc	mcResp	cResp	mcRT	lures
6.038	11	MIST	practice	1	1382	1	2	2345	1437	42,71,75,72
26.004	11	FORT	lure	1	1154	1	3	2345	1288	06,82,32,60
46.02	11	GOLF	long	4	738	1	3	3	728	30,40,19,22
66.004	11	COLUMN	short	3	659	1	4	4	1585	02,65,33,75
86.003	11	RACK	omit	3	371	1	2	2	3145	82,73,53,57
106.005	11	COACH	lure	1	395	1	5	2345	497	35,81,06,51
126.005	11	EASEL	omit	3	860	1	4	4	2890	75,51,30,68
146.005	11	HILL	lure	1	404	1	5	2345	682	22,35,60,46
166.005	11	HOOD	short	3	532	1	4	4	1106	82,38,32,46
186.004	11	VAULT	long	3	677	1	3	3	1675	51,53,16,19
206.006	11	BRUSH	lure	1	517	1	4	2345	659	40,47,22,51
226.001	11	EARTHQUAKE	omit	2	693	1	3	3	1691	06,46,12,68
246.001	11	PIN	short	3	446	1	4	4	1185	32,16,65,30
266.001	11	PIANO	lure	1	382	1	4	2345	612	53,22,82,40
286	11	PUTTY	lure	1	454	1	3	2345	676	46,12,68,60
306	11	PAGE	long	1	782	0	2	3	2028	16,09,68,47
326	11	CONTRACT	short	3	639	1	3	3	1997	09,72,38,16
346	11	LABEL	omit	3	687	1	4	4	1709	75,72,68,51
366	11	ANCHOR	lure	1	407	1	3	2345	1181	40,71,12,53
385.999	11	BOTTLE	lure	1	408	1	4	2345	526	75,73,32,38
405.999	11	DRUM	long	3	400	1	5	5	2294	19,06,53,02
426	11	CORD	long	5	992	1	2	2	1702	75,47,65,60
445.999	11	SUMMIT	lure	1	472	1	3	2345	1503	51,75,60,53
465.998	11	RAINDROP	lure	1	457	1	3	2345	711	30,82,51,72
485.997	11	TEXTILE	omit	3	737	1	2	2	1567	19,38,58,16
505.98	11	PICK	short	3	778	1	4	4	920	47,22,71,16
525.98	11	COAL	omit	3	1082	1	2	2	1200	60,42,09,68
545.98	11	DECK	lure	1	547	1	4	2345	729	60,02,65,42
565.996	11	RAIL	long	1	514	0	3	4	2456	18,82,58,02
585.996	11	ATLAS	short	3	651	1	3	3	889	58,35,53,46
605.996	11	PARK	lure	1	659	1	3	2345	1297	65,82,57,51
625.979	11	ISSUE	lure	1	444	1	4	2345	890	19,18,09,82
645.995	11	APRON	omit	3	915	1	5	5	1233	51,33,35,47
665.978	11	PENDULUM	long	1	820	1	3	3	2586	57,18,82,46
685.978	11	GALLERY	lure	1	549	1	5	2345	811	42,18,71,30
705.978	11	RACKET	short	3	1213	1	5	5	1523	32,40,42,57
725.977	11	PADDLE	lure	1	805	1	3	2345	1107	51,81,42,40
745.977	11	STICK	omit	2	2518	0	n/a	5	n/a	73,71,09,81
765.979	11	MUZZLE	lure	1	454	1	5	2345	548	82,19,68,57
785.981	11	SAWDUST	short	3	419	1	4	4	940	47,68,22,38
805.976	11	PHOTO	long	2	734	1	4	4	1700	82,40,16,12
825.976	11	ATOM	lure	1	575	1	5	2345	557	18,42,57,82
845.975	11	CANDLE	omit	3	727	1	5	5	1133	81,18,68,51
865.975	11	WHEEL	lure	1	431	1	2	2345	733	40,57,71,75
885.979	11	RATTLE	long	1	1239	1	3	3	2246	71,06,33,47
905.975	11	SAND	short	3	552	1	3	3	1526	02,73,58,38
925.974	11	GIFT	long	3	1304	1	5	5	1238	60,57,40,12
945.975	11	CORK	lure	1	504	1	3	2345	654	40,35,75,38
965.974	11	ROPE	omit	3	961	1	5	5	911	57,46,40,38
985.973	11	SWORD	short	3	1017	1	5	5	1399	68,35,71,42
1005.973	11	POUCH	lure	1	529	1	5	2345	711	71,32,53,60
